pair,iso3_o,iso3_d,year,log_trade,fta,log_distance,common_language,contiguity,colony,log_gdp_o,log_gdp_d
IND_MHL,IND,MHL,2017,4.22103594858176,0,9.21473072027748,1,0,0,21.6983811513497,12.2700052018582
IND_MHL,IND,MHL,2018,9.50179088492829,0,9.21473072027748,1,0,0,21.717602102778,12.308579142348
IND_MHL,IND,MHL,2019,10.1765060508586,0,9.21473072027748,1,0,0,21.7640908867597,12.3861508545668
IND_MKD,IND,MKD,2010,10.3720564029789,0,8.55371796609861,0,0,0,21.258857573921,16.0496748489513
IND_MKD,IND,MKD,2011,10.6986663190106,0,8.55371796609861,0,0,0,21.354590897407,16.1568568370067
IND_MKD,IND,MKD,2012,10.7353820304583,0,8.55371796609861,0,0,0,21.3431672290952,16.0748209443307
IND_MKD,IND,MKD,2013,11.053018690496,0,8.55371796609861,0,0,0,21.3528325234327,16.1374475665031
IND_MKD,IND,MKD,2014,10.7268173310115,0,8.55371796609861,0,0,0,21.4339550008047,16.2458090639135
IND_MKD,IND,MKD,2015,10.7312062502285,0,8.55371796609861,0,0,0,21.4707833272373,16.1232482288004
IND_MKD,IND,MKD,2016,10.7375539403644,0,8.55371796609861,0,0,0,21.5401880545599,16.2042350873849
IND_MKD,IND,MKD,2017,10.5467907300835,0,8.55371796609861,0,0,0,21.6983811513497,16.2409377242542
IND_MKD,IND,MKD,2018,11.0694117317452,0,8.55371796609861,0,0,0,21.717602102778,16.3557785960428
IND_MKD,IND,MKD,2019,10.9148092434179,0,8.55371796609861,0,0,0,21.7640908867597,16.3497102969417
IND_MLI,IND,MLI,2010,11.3823830295308,0,9.09256983624167,0,0,0,21.258857573921,16.0585863173767
IND_MLI,IND,MLI,2011,11.7345817989247,0,9.09256983624167,0,0,0,21.354590897407,16.1808399875089
IND_MLI,IND,MLI,2012,11.6113628227798,0,9.09256983624167,0,0,0,21.3431672290952,16.1516072488519
IND_MLI,IND,MLI,2013,11.7146001362799,0,9.09256983624167,0,0,0,21.3528325234327,16.2081856079871
IND_MLI,IND,MLI,2014,11.7873153159678,0,9.09256983624167,0,0,0,21.4339550008047,16.4548583688143
IND_MLI,IND,MLI,2015,11.5664132257541,0,9.09256983624167,0,0,0,21.4707833272373,16.3607820712854
IND_MLI,IND,MLI,2016,11.9249447540987,0,9.09256983624167,0,0,0,21.5401880545599,16.457783994929
IND_MLI,IND,MLI,2017,11.8248963587436,0,9.09256983624167,0,0,0,21.6983811513497,16.5476491604751
IND_MLI,IND,MLI,2018,11.9318100149152,0,9.09256983624167,0,0,0,21.717602102778,16.6528839182008
IND_MLI,IND,MLI,2019,12.1161116299032,0,9.09256983624167,0,0,0,21.7640908867597,16.6650748354131
IND_MLT,IND,MLT,2010,13.1402407309813,0,8.67607551647643,1,0,1,21.258857573921,15.9152253299148
IND_MLT,IND,MLT,2011,12.9738626451877,0,8.67607551647643,1,0,1,21.354590897407,16.0457461121618
IND_MLT,IND,MLT,2012,12.2572550365182,0,8.67607551647643,1,0,1,21.3431672290952,15.9974045959092
IND_MLT,IND,MLT,2013,12.0684834999215,0,8.67607551647643,1,0,1,21.3528325234327,16.0816729254483
IND_MLT,IND,MLT,2014,12.9894570762266,0,8.67607551647643,1,0,1,21.4339550008047,16.2304225088895
IND_MLT,IND,MLT,2015,12.3317716625251,0,8.67607551647643,1,0,1,21.4707833272373,16.1463921733646
IND_MLT,IND,MLT,2016,11.7712380941759,0,8.67607551647643,1,0,1,21.5401880545599,16.2087671205629
IND_MLT,IND,MLT,2017,11.9649166459677,0,8.67607551647643,1,0,1,21.6983811513497,16.4185747245411
IND_MLT,IND,MLT,2018,12.2566042971915,0,8.67607551647643,1,0,1,21.717602102778,16.5434470088793
IND_MLT,IND,MLT,2019,12.4562960182708,0,8.67607551647643,1,0,1,21.7640908867597,16.5704125964334
IND_MMR,IND,MMR,2010,12.6010360566775,1,7.75876054415766,0,1,1,21.258857573921,17.7183073888348
IND_MMR,IND,MMR,2011,13.1493886097597,1,7.75876054415766,0,1,1,21.354590897407,17.9094771586346
IND_MMR,IND,MMR,2012,13.3213830186262,1,7.75876054415766,0,1,1,21.3431672290952,17.905363717722
IND_MMR,IND,MMR,2013,13.629991067226,1,7.75876054415766,0,1,1,21.3528325234327,17.9120669357845
IND_MMR,IND,MMR,2014,13.8467489217678,1,7.75876054415766,0,1,1,21.4339550008047,17.9987009309065
IND_MMR,IND,MMR,2015,13.7752560419809,1,7.75876054415766,0,1,1,21.4707833272373,17.9522902881065
IND_MMR,IND,MMR,2016,14.0567025761895,1,7.75876054415766,0,1,1,21.5401880545599,18.0265944853637
IND_MMR,IND,MMR,2017,14.0221976348353,1,7.75876054415766,0,1,1,21.6983811513497,17.9337245006157
IND_MMR,IND,MMR,2018,14.1749404102559,1,7.75876054415766,0,1,1,21.717602102778,18.0223609347513
IND_MMR,IND,MMR,2019,13.8506418892509,1,7.75876054415766,0,1,1,21.7640908867597,18.0452271418281
